id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +icao","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
5011,NVVV,large_airport,"Bauerfield International Airport",-17.699301,168.320007,70,OC,Vanuatu,VU,Shefa,VU-SEE,SEE,"Port Vila",1,NVVV,NVVV,VLI,,,https://en.wikipedia.org/wiki/Bauerfield_International_Airport,"Efate Field, Vila Field, McDonald Field, Bauer Field",1000,2021-03-26T16:07:15+00:00
5010,NVSS,medium_airport,"Santo Pekoa International Airport",-15.505000114399998,167.220001221,184,OC,Vanuatu,VU,Sanma,VU-SAM,SAM,Luganville,1,NVSS,NVSS,SON,,http://www.airports.vu/Santo%20Pekoa/Santo%20Pekoa.htm,https://en.wikipedia.org/wiki/Santo-Pekoa_International_Airport,,750,2010-09-19T19:50:05+00:00
5012,NVVW,medium_airport,"Whitegrass Airport",-19.455099,169.223999,19,OC,Vanuatu,VU,Tafea,VU-TAE,TAE,"Tanna Island",1,NVVW,NVVW,TAH,,,https://en.wikipedia.org/wiki/White_Grass_Airport,,750,2025-06-25T03:43:34+00:00
31682,NVVI,small_airport,"Ipota Airport",-18.856389,169.283333,23,OC,Vanuatu,VU,Tafea,VU-TAE,TAE,Ipota,0,NVVI,NVVI,IPA,,,https://en.wikipedia.org/wiki/Ipota_Airport,,150,2025-02-07T03:50:21+00:00
31841,NVSG,small_airport,"Longana Airport",-15.3066997528,167.966995239,167,OC,Vanuatu,VU,Penama,VU-PAM,PAM,Longana,1,NVSG,NVSG,LOD,,,https://en.wikipedia.org/wiki/Longana_Airport,,150,2013-12-15T12:55:06+00:00
31836,NVSO,small_airport,"Lonorore Airport",-15.865599632299999,168.17199707,43,OC,Vanuatu,VU,Penama,VU-PAM,PAM,Lonorore,1,NVSO,NVSO,LNE,,,https://en.wikipedia.org/wiki/Lonorore_Airport,"Pentecost Island",150,2013-12-15T13:01:46+00:00
35158,NVSQ,medium_airport,"Gaua Island Airport",-14.2181,167.587006,100,OC,Vanuatu,VU,Torba,VU-TOB,TOB,"Gaua Island",0,NVSQ,NVSQ,ZGU,,,https://en.wikipedia.org/wiki/Gaua_Airport,"Banks Islands",750,2025-02-26T04:34:08+00:00
35164,NVSU,small_airport,"Uléi Airport",-16.3297,168.3011,170,OC,Vanuatu,VU,Malampa,VU-MAP,MAP,"Ambrym Island",0,NVSU,NVSU,ULB,,,https://en.wikipedia.org/wiki/Ulei_Airport,,150,2025-03-18T14:44:44+00:00
30663,NVVA,small_airport,"Aneityum Airport",-20.249142,169.770758,7,OC,Vanuatu,VU,Tafea,VU-TAE,TAE,"Anatom Island",0,NVVA,NVVA,AUY,,,https://en.wikipedia.org/wiki/Anatom_Airport,"Anelghowhat Airport, Anatom Airport",150,2025-04-14T02:02:43+00:00
31835,NVSM,small_airport,"Lamen Bay Airport",-16.584199905400002,168.158996582,7,OC,Vanuatu,VU,Shefa,VU-SEE,SEE,"Lamen Bay",1,NVSM,NVSM,LNB,,,https://en.wikipedia.org/wiki/Lamen_Bay_Airport,,150,2013-05-13T00:18:37+00:00
35161,NVSH,small_airport,"Sara Airport",-15.4708003998,168.151992798,493,OC,Vanuatu,VU,Penama,VU-PAM,PAM,"Pentecost Island",1,NVSH,NVSH,SSR,,,https://en.wikipedia.org/wiki/Sara_Airport,,150,2013-12-15T14:07:16+00:00
32058,NVVJ,small_airport,"Forari Airport",-17.701099395751953,168.52699279785156,351,OC,Vanuatu,VU,Shefa,VU-SEE,SEE,Forari,0,NVVJ,,,,,,,50,2008-06-13T14:30:04+00:00
32526,VU-0005,closed,"Quoin Hill Airfield",-17.540001,168.442001,16,OC,Vanuatu,VU,Shefa,VU-SEE,SEE,"Quoin Hill",0,,,,,,,"NVVQ, NVVQ, UIQ",50,2025-02-25T14:49:30+00:00
342012,VU-0002,closed,"Luganville Airfield",-15.5155,167.1319,484,OC,Vanuatu,VU,Sanma,VU-SAM,SAM,"Espiritu Santo Is.",0,,,,,,https://en.wikipedia.org/wiki/Luganville_Airfield,"Bomber Field #3",0,2021-03-10T13:01:36+00:00
31964,NVSA,small_airport,"Mota Lava Airport",-13.666,167.712006,63,OC,Vanuatu,VU,Torba,VU-TOB,TOB,Ablow,0,NVSA,NVSA,MTV,,,https://en.wikipedia.org/wiki/Mota_Lava_Airport,,150,2025-02-26T04:33:56+00:00
30665,NVVB,small_airport,"Aniwa Airport",-19.2346,169.6009,69,OC,Vanuatu,VU,Tafea,VU-TAE,TAE,Aniwa,0,NVVB,NVVB,AWD,,,https://en.wikipedia.org/wiki/Aniwa_Airport,,150,2025-02-07T03:50:48+00:00
30817,NVSF,small_airport,"Craig Cove Airport",-16.264999,167.923996,69,OC,Vanuatu,VU,Malampa,VU-MAP,MAP,"Craig Cove",1,NVSF,NVSF,CCV,,,https://en.wikipedia.org/wiki/Craig_Cove_Airport,,150,2018-09-22T03:21:42+00:00
