Name,Elevation (metres),Elevation (feet),Location (DMS),Latitude,Longitude,Last Eruption,Type,Island,Province,Status,OpenStreetMap Link
"Ambae",1496,4908,"15.380°S 167.83°E",-15.38,167.83,"2017","Active Shield / Caldera (Manaro Voui)","Ambae","Penama","Active","https://www.openstreetmap.org/?mlat=-15.38&mlon=167.83#map=12/-15.38/167.83"
"Ambrym",1334,4375,"16.25°S 168.12°E",-16.25,168.12,"ongoing","Active Caldera / Lava Lakes (Marum & Benbow)","Ambrym","Malampa","Active (Ongoing)","https://www.openstreetmap.org/?mlat=-16.25&mlon=168.12#map=12/-16.25/168.12"
"Aneityum",852,2795,"20.20°S 169.83°E",-20.2,169.83,"Pleistocene","Extinct Stratovolcano","Aneityum","Tafea","Extinct","https://www.openstreetmap.org/?mlat=-20.2&mlon=169.83#map=12/-20.2/169.83"
"East Epi",-34,-111,"16.68°S 168.37°E",-16.68,168.37,"2004","Submarine Volcano","Epi Offshore","Shefa","Submarine Active","https://www.openstreetmap.org/?mlat=-16.68&mlon=168.37#map=12/-16.68/168.37"
"Eastern Gemini Seamount",-80,-262,"20.98°S 170.29°E",-20.98,170.29,"1996","Submarine Seamount","Coral Sea","Tafea","Submarine Active","https://www.openstreetmap.org/?mlat=-20.98&mlon=170.29#map=12/-20.98/170.29"
"Futuna",666,2185,"19.32°S 170.13°E",-19.32,170.13,"Pleistocene","Extinct Volcano","Futuna","Tafea","Extinct","https://www.openstreetmap.org/?mlat=-19.32&mlon=170.13#map=12/-19.32/170.13"
"Gaua",979,2614,"14.27°S 167.50°E",-14.27,167.5,"1982","Active Stratovolcano (Mt. Gharat)","Gaua","Torba","Active","https://www.openstreetmap.org/?mlat=-14.27&mlon=167.5#map=12/-14.27/167.5"
"Kutali",833,2733,"16.73°S 168.28°E",-16.73,168.28,"Unknown","Volcanic Complex","Epi","Shefa","Inactive / Unknown","https://www.openstreetmap.org/?mlat=-16.73&mlon=168.28#map=12/-16.73/168.28"
"Kuwae",-2,-7,"16.829°S 168.536°E",-16.829,168.536,"1974","Submarine Caldera","Epi / Tongoa","Shefa","Submarine Active","https://www.openstreetmap.org/?mlat=-16.829&mlon=168.536#map=12/-16.829/168.536"
"Lopevi",1413,4636,"16.50°S 168.34°E",-16.5,168.34,"2006","Active Stratovolcano","Lopevi","Malampa","Active","https://www.openstreetmap.org/?mlat=-16.5&mlon=168.34#map=12/-16.5/168.34"
"Makura",644,2113,"17.0°S 168.5°E",-17,168.5,"Unknown","Volcanic Island Rim","Makura","Shefa","Extinct / Inactive","https://www.openstreetmap.org/?mlat=-17&mlon=168.5#map=12/-17/168.5"
"Merelava",883,3373,"14.45°S 168.05°E",-14.45,168.05,"1606","Dormant Stratovolcano","Merelava","Torba","Dormant","https://www.openstreetmap.org/?mlat=-14.45&mlon=168.05#map=12/-14.45/168.05"
"Mota Lava",411,1348,"13.7°S 167.65°E",-13.7,167.65,"300,000 BC","Extinct Stratovolcano","Mota Lava","Torba","Extinct","https://www.openstreetmap.org/?mlat=-13.7&mlon=167.65#map=12/-13.7/167.65"
"North Vate",594,1949,"17.45°S 168.33°E",-17.45,168.33,"Holocene","Volcanic Complex","Efate","Shefa","Holocene / Inactive","https://www.openstreetmap.org/?mlat=-17.45&mlon=168.33#map=12/-17.45/168.33"
"Traitor's Head",837,2746,"18.75°S 168.33°E",-18.75,168.33,"1881","Volcanic Complex","Erromango","Tafea","Historical Eruption","https://www.openstreetmap.org/?mlat=-18.75&mlon=168.33#map=12/-18.75/168.33"
"Tavai Ruro",554,1818,"16.80°S 168.43°E",-16.8,168.43,"Unknown","Volcanic Cone","Tongoa","Shefa","Inactive","https://www.openstreetmap.org/?mlat=-16.8&mlon=168.43#map=12/-16.8/168.43"
"Unnamed Caldera",521,1709,"16.992°S 168.592°E",-16.992,168.592,"Holocene","Submarine / Island Caldera","Shepherd Islands","Shefa","Holocene","https://www.openstreetmap.org/?mlat=-16.992&mlon=168.592#map=12/-16.992/168.592"
"Ureparapara",764,2507,"13.54°S 167.33°E",-13.54,167.33,"476,000 BC","Extinct Caldera Island","Ureparapara","Torba","Extinct","https://www.openstreetmap.org/?mlat=-13.54&mlon=167.33#map=12/-13.54/167.33"
"Vanua Lava",921,3022,"13.80°S 167.47°E",-13.8,167.47,"1965","Active Stratovolcano (Mt. Suretamatai)","Vanua Lava","Torba","Active","https://www.openstreetmap.org/?mlat=-13.8&mlon=167.47#map=12/-13.8/167.47"
"Vot Tande",64,210,"13.25°S 167.65°E",-13.25,167.65,"4 million years ago","Extinct Volcanic Islet","Vot Tande","Torba","Extinct","https://www.openstreetmap.org/?mlat=-13.25&mlon=167.65#map=12/-13.25/167.65"
"Western Gemini Seamount",-30,-98,"21.0°S 170.05°E",-21,170.05,"Unknown","Submarine Seamount","Coral Sea","Tafea","Submarine","https://www.openstreetmap.org/?mlat=-21&mlon=170.05#map=12/-21/170.05"
"Yasur",405,1329,"19.52°S 169.42°E",-19.52,169.42,"ongoing","Active Cinder Cone (Mt. Yasur)","Tanna","Tafea","Active (Ongoing)","https://www.openstreetmap.org/?mlat=-19.52&mlon=169.42#map=12/-19.52/169.42"
